start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,trip_count
11 Ave & W 41 St,Orchard St & Grand St,40.760186911,-74.014146686,40.717318403855785,-73.99067759513855,1
11 St & Washington St,11 St & Washington St,40.74992609,-74.027374744,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.749954581,-74.027258992,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.749958754,-74.027374506,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.749958754,-74.027178764,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.749965429,-74.027364135,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.749971151,-74.02753222,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.749979377,-74.027313828,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.749984264,-74.027307749,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.74998490907138,-74.02715027332306,40.74998490907138,-74.02715027332306,225
11 St & Washington St,11 St & Washington St,40.749986649,-74.027231336,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.749987602,-74.027236938,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.749988675,-74.027440667,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.750003815,-74.027215719,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.750021815,-74.027289033,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.750030994,-74.027255535,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.750033379,-74.027450442,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.750034571,-74.027413607,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.750046849,-74.027314782,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.750049591,-74.027327538,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.750051379,-74.027391553,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.750051498,-74.027262568,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.750053406,-74.027222395,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.75006187,-74.027331471,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.750118375,-74.027369618,40.74998490907138,-74.02715027332306,1
11 St & Washington St,11 St & Washington St,40.750182033,-74.027436376,40.74998490907138,-74.02715027332306,1
11 St & Washington St,12 Ave & W 40 St,40.74998490907138,-74.02715027332306,40.76087502,-74.00277668,2
11 St & Washington St,12 St & Sinatra Dr N,40.74998490907138,-74.02715027332306,40.75060414236896,-74.02402013540268,85
11 St & Washington St,12 St & Sinatra Dr N,40.749992251,-74.027357459,40.75060414236896,-74.02402013540268,1
11 St & Washington St,12 St & Sinatra Dr N,40.750019073,-74.02713275,40.75060414236896,-74.02402013540268,1
11 St & Washington St,12 St & Sinatra Dr N,40.750019431,-74.027344346,40.75060414236896,-74.02402013540268,1
11 St & Washington St,12 St & Sinatra Dr N,40.750021458,-74.027234077,40.75060414236896,-74.02402013540268,1
11 St & Washington St,12 St & Sinatra Dr N,40.750023842,-74.027305365,40.75060414236896,-74.02402013540268,1
11 St & Washington St,12 St & Sinatra Dr N,40.750035405,-74.027212858,40.75060414236896,-74.02402013540268,1
11 St & Washington St,12 St & Sinatra Dr N,40.750072479,-74.027212143,40.75060414236896,-74.02402013540268,1
11 St & Washington St,12 St & Sinatra Dr N,40.750108838,-74.027480245,40.75060414236896,-74.02402013540268,1
11 St & Washington St,14 St Ferry - 14 St & Shipyard Ln,40.74998490907138,-74.02715027332306,40.75296063046496,-74.02435272932053,160
11 St & Washington St,14 St Ferry - 14 St & Shipyard Ln,40.749991417,-74.027303576,40.75296063046496,-74.02435272932053,1
11 St & Washington St,14 St Ferry - 14 St & Shipyard Ln,40.750005126,-74.027242184,40.75296063046496,-74.02435272932053,1
11 St & Washington St,14 St Ferry - 14 St & Shipyard Ln,40.750016689,-74.027478099,40.75296063046496,-74.02435272932053,1
11 St & Washington St,14 St Ferry - 14 St & Shipyard Ln,40.750019312,-74.027493834,40.75296063046496,-74.02435272932053,1
11 St & Washington St,14 St Ferry - 14 St & Shipyard Ln,40.750033498,-74.027249098,40.75296063046496,-74.02435272932053,1
11 St & Washington St,14 St Ferry - 14 St & Shipyard Ln,40.750054717,-74.027282596,40.75296063046496,-74.02435272932053,1
11 St & Washington St,14 St Ferry - 14 St & Shipyard Ln,40.750055075,-74.027311206,40.75296063046496,-74.02435272932053,1
11 St & Washington St,14 St Ferry - 14 St & Shipyard Ln,40.750056386,-74.027300835,40.75296063046496,-74.02435272932053,1
11 St & Washington St,14 St Ferry - 14 St & Shipyard Ln,40.750063062,-74.027496934,40.75296063046496,-74.02435272932053,1
